Date,close_without_season
2019-01-02,
2019-01-03,
2019-01-04,
2019-01-07,
2019-01-08,
2019-01-09,
2019-01-10,
2019-01-11,
2019-01-14,
2019-01-15,
2019-01-16,
2019-01-17,
2019-01-18,
2019-01-22,
2019-01-23,
2019-01-24,
2019-01-25,
2019-01-28,
2019-01-29,
2019-01-30,
2019-01-31,
2019-02-01,
2019-02-04,
2019-02-05,
2019-02-06,
2019-02-07,
2019-02-08,
2019-02-11,
2019-02-12,
2019-02-13,
2019-02-14,
2019-02-15,
2019-02-19,
2019-02-20,
2019-02-21,
2019-02-22,
2019-02-25,
2019-02-26,
2019-02-27,
2019-02-28,
2019-03-01,
2019-03-04,
2019-03-05,
2019-03-06,
2019-03-07,
2019-03-08,
2019-03-11,
2019-03-12,
2019-03-13,
2019-03-14,
2019-03-15,
2019-03-18,
2019-03-19,
2019-03-20,
2019-03-21,
2019-03-22,
2019-03-25,
2019-03-26,
2019-03-27,
2019-03-28,
2019-03-29,
2019-04-01,
2019-04-02,
2019-04-03,
2019-04-04,
2019-04-05,
2019-04-08,
2019-04-09,
2019-04-10,
2019-04-11,
2019-04-12,
2019-04-15,
2019-04-16,
2019-04-17,
2019-04-18,
2019-04-22,
2019-04-23,
2019-04-24,
2019-04-25,
2019-04-26,
2019-04-29,
2019-04-30,
2019-05-01,
2019-05-02,
2019-05-03,
2019-05-06,
2019-05-07,
2019-05-08,
2019-05-09,
2019-05-10,
2019-05-13,
2019-05-14,
2019-05-15,
2019-05-16,
2019-05-17,
2019-05-20,
2019-05-21,
2019-05-22,
2019-05-23,
2019-05-24,
2019-05-28,
2019-05-29,
2019-05-30,
2019-05-31,
2019-06-03,
2019-06-04,
2019-06-05,
2019-06-06,
2019-06-07,
2019-06-10,
2019-06-11,
2019-06-12,
2019-06-13,
2019-06-14,
2019-06-17,
2019-06-18,
2019-06-19,
2019-06-20,
2019-06-21,
2019-06-24,
2019-06-25,
2019-06-26,
2019-06-27,
2019-06-28,
2019-07-01,
2019-07-02,
2019-07-03,
2019-07-05,
2019-07-08,
2019-07-09,
2019-07-10,
2019-07-11,
2019-07-12,
2019-07-15,
2019-07-16,
2019-07-17,
2019-07-18,
2019-07-19,
2019-07-22,
2019-07-23,
2019-07-24,
2019-07-25,
2019-07-26,
2019-07-29,
2019-07-30,
2019-07-31,
2019-08-01,
2019-08-02,
2019-08-05,
2019-08-06,
2019-08-07,
2019-08-08,
2019-08-09,
2019-08-12,
2019-08-13,
2019-08-14,
2019-08-15,
2019-08-16,
2019-08-19,
2019-08-20,
2019-08-21,
2019-08-22,
2019-08-23,
2019-08-26,
2019-08-27,
2019-08-28,
2019-08-29,
2019-08-30,
2019-09-03,
2019-09-04,
2019-09-05,
2019-09-06,
2019-09-09,
2019-09-10,
2019-09-11,
2019-09-12,
2019-09-13,
2019-09-16,
2019-09-17,
2019-09-18,
2019-09-19,2.7466017532348626
2019-09-20,5.162184543235624
2019-09-23,3.3557116435124428
2019-09-24,3.423929613221368
2019-09-25,3.872582015991206
2019-09-26,4.490539939186789
2019-09-27,3.2598316410609627
2019-09-30,5.891566716913587
2019-10-01,7.371624784798463
2019-10-02,5.323261733620854
2019-10-03,5.464568888346356
2019-10-04,6.945189804327285
2019-10-07,6.431115314114479
2019-10-08,7.403360175480913
2019-10-09,8.301502535343175
2019-10-10,7.738900067256047
2019-10-11,7.240010827960397
2019-10-14,6.800080962109931
2019-10-15,5.784902343750005
2019-10-16,2.2129599889119547
2019-10-17,1.5009640720912358
2019-10-18,1.8344785539868909
2019-10-21,1.6037057855394181
2019-10-22,0.946208022653238
2019-10-23,1.3317889280576978
2019-10-24,1.008334070841471
2019-10-25,1.9151403206273017
2019-10-28,2.252927912922651
2019-10-29,0.48364243238400206
2019-10-30,0.5583431514305346
2019-10-31,2.3765274429321224
2019-11-01,3.05036498599582
2019-11-04,3.2170506640178402
2019-11-05,3.1596142697621588
2019-11-06,2.368255925859721
2019-11-07,2.0098417461619604
2019-11-08,1.3048143954609728
2019-11-11,1.6607942668870948
2019-11-12,2.3431287644126115
2019-11-13,2.9353440248296607
2019-11-14,1.3484099917941563
2019-11-15,2.0572270512842934
2019-11-18,1.874097847316577
2019-11-19,1.2575671308784067
2019-11-20,0.9824670848440533
2019-11-21,0.6801012741891981
2019-11-22,-1.6630497757593758
2019-11-25,-0.4611698036587056
2019-11-26,-2.5307508904593377
2019-11-27,-2.7481236814248433
2019-11-29,-3.642373237609867
2019-12-02,-4.604451141357416
2019-12-03,-5.6734479522705
2019-12-04,-6.093576469421386
2019-12-05,-6.740727081298829
2019-12-06,-5.6182511520385745
2019-12-09,-4.903446083068843
2019-12-10,-2.9631465148925846
2019-12-11,-0.11112697601318189
2019-12-12,-0.8353272628784221
2019-12-13,-0.6772739028930559
2019-12-16,-0.809227981567382
2019-12-17,-0.6292012786865229
2019-12-18,-0.9322277069091882
2019-12-19,-2.9712034988403246
2019-12-20,-1.803349227905272
2019-12-23,-1.0687027740478499
2019-12-24,-1.912877578735355
2019-12-26,-1.5536492538452222
2019-12-27,-1.0481022644042919
2019-12-30,-1.0607262039184704
2019-12-31,-0.3979019546508842
2020-01-02,3.8604768753051815
2020-01-03,1.4233207702636719
2020-01-06,2.603896102905274
2020-01-07,1.9593294525146372
2020-01-08,1.780753211975103
2020-01-09,3.822274131774904
2020-01-10,5.5328229522705
2020-01-13,6.784621696472165
2020-01-14,4.851348533630379
2020-01-15,5.7309011077881
2020-01-16,4.279322166442874
2020-01-17,5.117880287170422
2020-01-21,2.4663530731201107
2020-01-22,3.9698803329467864
2020-01-23,7.102777938842777
2020-01-24,6.844102821350113
2020-01-27,5.07442890167237
2020-01-28,7.874801788330075
2020-01-29,13.106522483825692
2020-01-30,13.292449378967293
2020-01-31,9.105178070068362
2020-02-03,9.533702850341797
2020-02-04,11.69757736206055
2020-02-05,14.294729614257811
2020-02-06,14.841469993591318
2020-02-07,13.403075218200676
2020-02-10,14.625572509765625
2020-02-11,15.878994865417482
2020-02-12,17.668252792358395
2020-02-13,15.909949417114257
2020-02-14,15.860553283691402
2020-02-18,16.01555015563965
2020-02-19,17.096523704528806
2020-02-20,14.058773384094238
2020-02-21,10.140622291564938
2020-02-24,5.993949470520008
2020-02-25,2.5511467361450286
2020-02-26,3.5451246261596623
2020-02-27,-1.8169764709472744
2020-02-28,-1.7840048599243232
2020-03-02,3.7542275619506995
2020-03-03,2.0641740417480463
2020-03-04,4.527124786376952
2020-03-05,1.0065788269042955
2020-03-06,-0.381174316406252
2020-03-09,-6.912673873901369
2020-03-10,-0.3014237594604481
2020-03-11,-2.53207580566405
2020-03-12,-9.730101470947252
2020-03-13,-4.899902305603028
2020-03-16,-14.020324783325194
2020-03-17,-10.535925674438474
2020-03-18,-12.755948867797862
2020-03-19,-13.785947532653807
2020-03-20,-18.00027828216554
2020-03-23,-19.434428215026855
2020-03-24,-12.42737274169923
2020-03-25,-13.433175659179689
2020-03-26,-9.962102050781247
2020-03-27,-12.780526123046878
2020-03-30,-11.497977943420409
2020-03-31,-11.738130531311022
2020-04-01,-13.922324676513675
2020-04-02,-12.129055709838866
2020-04-03,-13.317849502563476
2020-04-06,-8.20892230987549
2020-04-07,-9.386628990173328
2020-04-08,-8.814271087646489
2020-04-09,-7.9278017425537115
2020-04-13,-5.160776710510262
2020-04-14,-0.4562072372436605
2020-04-15,-1.9391472625732362
2020-04-16,-1.9104954147338944
2020-04-17,-4.965898933410642
2020-04-20,-4.065703048706048
2020-04-21,-5.2325797653198265
2020-04-22,-0.9945195388793948
2020-04-23,-2.1580479049682637
2020-04-24,-1.418421325683589
2020-04-27,-3.4827659988403283
2020-04-28,-4.035580520629878
2020-04-29,-1.2633186340332045
2020-04-30,-1.7755004501342881
2020-05-01,-1.0397486877441435
2020-05-04,-0.7576503753662109
2020-05-05,-0.8176227951049879
2020-05-06,-2.4070761108398386
2020-05-07,-1.58974948883057
2020-05-08,-1.014845848083496
2020-05-11,-0.4012977218627962
2020-05-12,-0.5526504898071352
2020-05-13,-1.743951072692866
2020-05-14,-1.2910707092285136
2020-05-15,-1.7627304840087845
2020-05-18,-2.065001373291004
2020-05-19,-4.177998886108405
2020-05-20,-2.2718180847167915
2020-05-21,-5.5791469192504834
2020-05-22,-5.252069168090827
2020-05-26,-5.736269912719727
2020-05-27,-6.854775695800782
2020-05-28,-8.696601867675788
2020-05-29,-10.271750221252432
2020-06-01,-9.849075508117679
2020-06-02,-9.143928527832031
2020-06-03,-9.21682399749755
2020-06-04,-8.209975433349612
2020-06-05,-8.995001640319828
2020-06-08,-10.076777839660657
2020-06-09,-6.855375137329107
2020-06-10,-1.6633536148071357
2020-06-11,-5.781325607299799
2020-06-12,-8.862629394531254
2020-06-15,-8.624980468749996
2020-06-16,-7.44052825927735
2020-06-17,-8.026201095581051
2020-06-18,-8.950393447875975
2020-06-19,-7.971497955322256
2020-06-22,-8.49720626831055
2020-06-23,-8.013522834777818
2020-06-24,-10.064778137207036
2020-06-25,-6.978949546813958
2020-06-26,-11.852347373962402
2020-06-29,-9.912671470642074
2020-06-30,-9.129476776123042
2020-07-01,-5.687525711059578
2020-07-02,-3.2007773208618175
2020-07-06,-1.8180458450317474
2020-07-07,2.2918284988403457
2020-07-08,4.124101409912107
2020-07-09,-2.935445556640637
2020-07-10,-0.3040053176879809
2020-07-13,-4.9758197784423785
2020-07-14,-1.1235510253906043
2020-07-15,-0.27230163574218824
2020-07-16,3.60441997528077
2020-07-17,0.008027076721191406
2020-07-20,4.4482514572143685
2020-07-21,8.468327560424802
2020-07-22,-0.5234278488159134
2020-07-23,3.4935997772216822
2020-07-24,0.667821693420394
2020-07-27,4.319600677490257
2020-07-28,2.6557298278808403
2020-07-29,8.108271102905272
2020-07-30,9.924400825500477
2020-07-31,14.352703247070323
2020-08-03,16.584873924255362
2020-08-04,14.428596992492686
2020-08-05,16.63602153778075
2020-08-06,18.316395797729484
2020-08-07,15.796328010559066
2020-08-10,21.43997474670411
2020-08-11,17.290949707031245
2020-08-12,21.80850181579592
2020-08-13,17.395128250122085
2020-08-14,18.568551101684577
2020-08-17,15.735422401428224
2020-08-18,16.342852554321283
2020-08-19,16.01892086029052
2020-08-20,16.395201644897455
2020-08-21,22.75815711975099
2020-08-24,22.866451034545904
2020-08-25,21.609977188110378
2020-08-26,25.782297554016097
2020-08-27,26.044250526428243
2020-08-28,23.324553794860847
2020-08-31,27.633295555114746
2020-09-01,29.900218734741202
2020-09-02,25.84046897888183
2020-09-03,16.311824455261203
2020-09-04,14.303898506164556
2020-09-08,4.609505195617672
2020-09-09,10.462171974182127
2020-09-10,4.520721778869614
2020-09-11,1.9155031585693365
2020-09-14,3.130398330688479
2020-09-15,2.7003062438964776
2020-09-16,-2.5996763610839935
2020-09-17,-6.052179679870591
2020-09-18,-10.146431159973147
2020-09-21,-5.2837198257446545
2020-09-22,-4.651626625061014
2020-09-23,-8.607673873901348
2020-09-24,-10.57577236175537
2020-09-25,-7.731556205749499
2020-09-28,-6.786550445556642
2020-09-29,-8.641353111267094
2020-09-30,-6.189129295349119
2020-10-01,-4.0962508773803705
2020-10-02,-9.052122268676754
2020-10-05,-6.242202796936041
2020-10-06,-8.845473823547366
2020-10-07,-8.045702743530299
2020-10-08,-8.819625549316413
2020-10-09,-6.840646934509266
2020-10-12,3.8987967300414965
2020-10-13,-3.6118520736694393
2020-10-14,-5.358294525146505
2020-10-15,-8.053447341918956
2020-10-16,-8.075780067443844
2020-10-19,-6.282346229553227
2020-10-20,-7.5975965118408055
2020-10-21,-9.419673080444326
2020-10-22,-13.264619827270508
2020-10-23,-12.03754814147949
2020-10-26,-11.959521865844735
2020-10-27,-8.953123321533198
2020-10-28,-18.0693551635742
2020-10-29,-14.704899063110348
2020-10-30,-19.01992721557616
2020-11-02,-18.404577865600587
2020-11-03,-14.568972930908217
2020-11-04,-10.7972750854492
2020-11-05,-5.177720489501965
2020-11-06,-1.17461746215821
2020-11-09,-0.6164436340332031
2020-11-10,-4.14857414245607
2020-11-11,4.8536495971679585
